DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
2006-06-15,       6.714,
2006-07-15,       6.025,
2006-08-15,       6.948,
2006-09-15,       7.411,
2006-10-15,       6.600,
2006-11-15,       5.925,
2006-12-15,       7.413,
2007-01-15,       8.103,
2007-02-15,       8.088,
2007-03-15,       7.288,
2007-04-15,       7.306,
2007-05-15,       6.656,
2007-06-15,       7.720,
2007-07-15,       6.903,
2007-08-15,       8.086,
2007-09-15,       8.589,
2007-10-15,       7.824,
2007-11-15,       8.986,
2007-12-15,       8.606,
2008-01-15,       8.507,
2008-02-15,       8.220,
2008-03-15,       7.288,
2008-04-15,       6.263,
2008-05-15,       6.237,
2008-06-15,       6.204,
2008-07-15,       6.840,
2008-08-15,       7.894,
2008-09-15,       7.693,
2008-10-15,       9.083,
2008-11-15,       8.069,
2008-12-15,       8.029,
2009-01-15,       7.978,
2009-02-15,       6.901,
2009-03-15,       6.487,
2009-04-15,       6.900,
2009-05-15,       6.130,
2009-06-15,       4.870,
2009-07-15,       7.444,
2009-08-15,       6.802,
2009-09-15,       7.825,
2009-10-15,       6.195,
2009-11-15,       6.147,
2009-12-15,       5.875,
2010-01-15,       7.951,
2010-02-15,       6.941,
2010-03-15,       7.227,
2010-04-15,       6.121,
2010-05-15,       6.802,
2010-06-15,       7.086,
2010-07-15,       7.350,
2010-08-15,       8.367,
2010-09-15,       7.323,
2010-10-15,       8.636,
2010-11-15,       7.487,
2010-12-15,       8.511,
2011-01-15,       7.253,
2011-02-15,       7.268,
2011-03-15,       7.576,
2011-04-15,       6.567,
2011-05-15,       6.355,
2011-06-15,       7.538,
2011-07-15,       7.443,
2011-08-15,       7.847,
2011-09-15,       9.063,
2011-10-15,       6.998,
2011-11-15,       9.049,
2011-12-15,       8.238,
2012-01-15,       8.832,
2012-02-15,       7.115,
2012-03-15,       7.462,
2012-04-15,       6.749,
2012-05-15,       7.278,
2012-06-15,       6.376,
2012-07-15,       7.882,
2012-08-15,       6.797,
2012-09-15,       8.108,
2012-10-15,       6.953,
2012-11-15,       7.996,
2012-12-15,       8.923,
2013-01-15,       8.858,
2013-02-15,       7.834,
2013-03-15,       6.792,
2013-04-15,       7.558,
2013-05-15,       6.941,
2013-06-15,       6.468,
2013-07-15,       7.127,
2013-08-15,       8.439,
2013-09-15,       8.439,
2013-10-15,       8.855,
2013-11-15,       7.575,
2013-12-15,       7.941,
2014-01-15,       8.377,
2014-02-15,       8.826,
2014-03-15,       7.726,
2014-04-15,       6.659,
2014-05-15,       6.945,
2014-06-15,       7.971,
2014-07-15,       7.393,
2014-08-15,       7.113,
2014-09-15,       7.465,
2014-10-15,       7.142,
2014-11-15,       7.195,
2014-12-15,       8.534,
2015-01-15,       8.249,
2015-02-15,       6.705,
2015-03-15,       6.582,
2015-04-15,       5.279,
2015-05-15,       6.439,
2015-06-15,       5.743,
2015-07-15,       5.258,
2015-08-15,       6.279,
2015-09-15,       6.021,
2015-10-15,       5.246,
2015-11-15,       6.381,
2015-12-15,       6.440,
2016-01-15,       6.550,
2016-02-15,       7.415,
2016-03-15,       6.180,
2016-04-15,       6.491,
2016-05-15,       6.241,
2016-06-15,       6.898,
2016-07-15,       6.996,
2016-08-15,       6.628,
2016-09-15,       6.869,
2016-10-15,       7.467,
2016-11-15,       6.588,
2016-12-15,       6.935,
2017-01-15,       7.743,
2017-02-15,       7.591,
2017-03-15,       7.362,
2017-04-15,       6.625,
2017-05-15,       6.188,
2017-06-15,       7.321,
2017-07-15,       7.453,
2017-08-15,       7.142,
2017-09-15,       7.373,
2017-10-15,       8.416,
2017-11-15,       7.483,
2017-12-15,       8.161,
2018-12-15,       5.633,
